Address,district,beat,grid,crimedescr,ucr_ncic_code
1125 ALHAMBRA BLVD,3,3C        ,841,CASUALTY REPORT,7000
4445 52ND ST,6,6B        ,1064,10851(A)VC TAKE VEH W/O OWNER,2404
3950 RESEARCH DR,2,2A        ,510,5150 WI DANGER SELF/OTHERS,7000
2000 BROADWAY,4,4A        ,907,602.1(A)TRES OBST BUSIN OPERAT,5707
K ST / 30TH ST,3,3C        ,841,POSSIBLE STOLEN PROPERTY-I RPT,7000
416 SANTA ANA AVE,2,2A        ,213,MISSING PERSON,7000
6244 LEMON HILL AVE,6,6B        ,1421,MISSING PERSON,7000
1501 STRADER AVE,2,2B        ,546,484 PC   PETTY THEFT/INSIDE,2308
2200 IRVIN WAY,4,4B        ,976,459 PC  BURGLARY VEHICLE,2299
416 SANTA ANA AVE,2,2A        ,213,MISSING PERSON,7000
416 SANTA ANA AVE,2,2A        ,213,MISSING PERSON,7000
950 FRIENZA AVE,2,2B        ,564,459 PC  BURGLARY RESIDENCE,2204
E ST / 30TH ST,3,3C        ,811,TRAFFIC-ACCIDENT-NON INJURY,5400
MEADOWVIEW RD / AMHERST ST,5,5A        ,1391,11360(A)HS SALE/TRANSP MARIJ,3560
4321 69TH ST,6,6C        ,1131,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
3100 MEADOWVIEW RD,5,5A        ,1505,MISSING PERSON,7000
1689 ARDEN WAY,2,2C        ,619,484J PC PUBLISH CARD INFO,2605
11TH ST / T ST,3,3A        ,774,TRAFFIC-ACCIDENT INJURY,5400
GRAND AVE / LINDSAY AVE,2,2A        ,512,TOWED/STORED VEHICLE,7000
DIXIEANNE AVE / CANTALIER ST,2,2C        ,603,647(B) PC   PROSTITUTION,4004
FRUITRIDGE RD / GILGUNN WAY,4,4C        ,964,TRAFFIC-ACCIDENT INJURY,5400
2201 NORTHVIEW DR,1,1C        ,447,484 PC   PETTY THEFT/INSIDE,2308
419 VISTA NUEVO AVE,2,2B        ,532,484 PETTY THEFT/LICENSE PLATE,2399
5444 DRY CREEK RD,2,2A        ,205,459 PC  BURGLARY VEHICLE,2299
3510 MARTIN LUTHER KING JR BLVD,6,6A        ,1041,484 PETTY THEFT/LICENSE PLATE,2399
5351 47TH AVE,6,6B        ,1421,484 PETTY THEFT/LICENSE PLATE,2399
6975 CASA DEL ESTE WAY,6,6C        ,1443,SUSP PERS-NO CRIME - I RPT,7000
HOWE AVE / AMERICAN RIVER DR,3,3C        ,877,NON INJ HR/MAIL OUT REPORT,7000
SHINING STAR DR / LA FRESA CT,5,5B        ,1602,11379(A)HS SALE/TRAN CNTRL SUB,3599
3710 FRANKLIN BLVD,4,4B        ,958,484 PETTY THEFT-SHOPLIFT,2303
2502 RIVERSIDE BLVD,4,4A        ,904,508 PC   EMBEZZLEMENT/EMPLOYEE,2799
100 CADILLAC DR,3,3C        ,878,10851(A)VC TAKE VEH W/O OWNER,2404
2270 FAIR OAKS BLVD,3,3C        ,877,484 PETTY THEFT CLOUT UNLOCKED,2305
STACIA WAY / SHIELAH WAY,4,4B        ,966,TOWED/STORED VEH-14602.6,7000
ALHAMBRA BLVD / K ST,3,3C        ,841,TRAFFIC-ACCIDENT INJURY,5400
545 K ST,3,3M        ,742,459 PC  BURGLARY VEHICLE,2299
2506 35TH ST,6,6A        ,1013,12021(A)(1)PC FELON POSS FRARM,5212
3301 FONG RANCH RD,1,1B        ,404,GANG ACTIVITY - I RPT,7000
3641 TRUXEL RD,1,1A        ,337,148.1(A)PC FALSE REPT OF BOMB,4803
7465 RUSH RIVER DR,4,4C        ,1285,459 PC  BURGLARY BUSINESS,2203
6244 GLORIA DR,4,4C        ,1255,10851(A)VC TAKE VEH W/O OWNER,2404
J ST / 11TH ST,3,3M        ,734,9.04.050 A DRINKING IN PUBLIC,7399
2920 DEL PASO BLVD,2,2B        ,564,484 PETTY THEFT/LICENSE PLATE,2399
4800 WESTLAKE PKWY,1,1A        ,130,459 PC  BURGLARY VEHICLE,2299
2901 K ST,3,3B        ,748,459 PC  BURGLARY BUSINESS,2203
CENTER PKWY / JACINTO AVE,5,5C        ,1654,484 PC  PETTY THEFT/ OUTSIDE,2309
JUDAH ST / ELDRIDGE AVE,2,2B        ,556,20002(A) HIT/RUN,5401
2813 AZEVEDO DR,1,1B        ,422,459 PC  BURGLARY RESIDENCE,2204
FREEPORT BLVD / POCKET RD,5,5A        ,1391,TRAFFIC-ACCIDENT INJURY,5400
2936 CONNIE DR,2,2C        ,567,11350(A)HS POSS CNTRL SUBST,3532
801 LAMPASAS AVE,2,2B        ,563,MISCELLANEOUS I RPT (ZMISC),7000
WATT AVE / US 50 EB,3,3C        ,1106,TRAFFIC-ACCIDENT INJURY,5400
3661 TRUXEL RD,1,1A        ,337,MISCELLANEOUS I RPT (ZMISC),7000
651 I ST,3,3M        ,732,GANG ACTIVITY - I RPT,7000
2876 WIESE WAY,1,1C        ,426,LOST PROPERTY - I RPT,7000
1921 OAK BLUFF WAY,1,1B        ,423,CHILD WELFARE - I RPT,7000
4TH AVE / SANTA CRUZ WAY,6,6A        ,1015,TOWED/STORED VEH-14602.6,7000
4008 36TH ST,6,6A        ,1051,484 PC  PETTY THEFT/ OUTSIDE,2309
6854 BUENA TERRA WAY,4,4C        ,1279,MISSING PERSON,7000
HWY 99 SB / 12TH AVE,4,4B        ,937,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
6460 VALLEY HI DR,5,5C        ,1635,417(A)2) PC BRANDISH FIREARM,5212
1396 GARDEN HWY,1,1B        ,440,459 PC  BURGLARY VEHICLE,2299
LYTLE ST / 71ST AVE,5,5A        ,1502,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
FREEPORT BLVD / FRUITRIDGE RD,4,4B        ,976,TRAFFIC-ACCIDENT INJURY,5400
26TH ST / CAPITOL AVE,3,3B        ,748,459 PC  BURGLARY VEHICLE,2299
J ST / 20TH ST,3,3B        ,736,TRAFFIC-ACCIDENT-NON INJURY,5400
2451 MEADOWVIEW RD,5,5A        ,1396,10851(A)VC TAKE VEH W/O OWNER,2404
BELLEVIEW AVE / FRUITRIDGE RD,6,6C        ,1152,TRAFFIC-ACCIDENT-NON INJURY,5400
7974 POCKET RD,4,4C        ,1295,422 PC THREAT/INTENT TO TERROR,1602
2750 STONECREEK DR,1,1B        ,435,10851(A)VC TAKE VEH W/O OWNER,2404
8101 COSUMNES RIVER BLVD,5,5C        ,1639,484 PC   PETTY THEFT/INSIDE,2308
1896 ARDEN WAY,2,2C        ,628,484 PETTY THEFT-SHOPLIFT,2303
1630 HALO WAY,1,1A        ,106,FRAUD OR BUNCO - I RPT,7000
2ND ST / K ST,3,3M        ,741,9.04.050 A DRINKING IN PUBLIC,7399
2136 FLORIN RD,5,5A        ,1364,BATTERY - I RPT,7000
34TH ST / BROADWAY,6,6A        ,1013,487(C) PC  GRAND THEFT-PERSON,2301
3100 MEADOWVIEW RD,5,5A        ,1505,487(A) PC GRAND THEFT,2303
6145 CALVINE RD,5,5C        ,1653,10851 VC AUTO THEFT LOCATE,2404
729 L ST,3,3M        ,742,653M(A) PC OBSCENE/THREAT CALL,5309
5235 MACK RD,5,5B        ,1604,246 PC SHOOT OCCUP DWELL/VEH,5213
3131 SPARROW DR,1,1A        ,344,10851(A)VC TAKE VEH W/O OWNER,2404
535 LAMPASAS AVE,2,2B        ,552,594(B)(2)(A) VANDALISM/ -$400,2999
401 I ST,3,3M        ,712,148(A)(1)PC RESIST PEACE OFFCR,4801
805 15TH ST,3,3A        ,735,25661 BP FALSE EVIDENCE OF AGE,4199
2705 57TH AVE,4,4B        ,1356,290(G)(1) FAIL TO REG SEX OFFE,3699
4332 76TH ST,6,6C        ,1132,484 PETTY THEFT/LICENSE PLATE,2399
1500 Q ST,3,3A        ,765,242 PC  BATTERY CIVILIAN,1313
ALPINE FROST DR / COVEY CREEK WAY,5,5C        ,1637,20002(A) HIT/RUN,5401
32ND ST / 3RD AVE 4TH AVE ALY,6,6A        ,1011,3056 PAROLE VIO - I RPT,7000
1415 30TH ST,3,3C        ,851,HARASSMENT - I RPT,7000
13TH ST / F ST,3,3A        ,725,ROBBERY - I RPT,7000
90 MARILYN CIR,2,2A        ,222,10851(A)VC TAKE VEH W/O OWNER,2404
2223 ROYALE RD,2,2C        ,616,10851(A)VC TAKE VEH W/O OWNER,2404
6 SAGINAW CIR,1,1C        ,414,10851(A)VC TAKE VEH W/O OWNER,2404
RICHARDS BLVD / BERCUT DR,3,3A        ,701,211 PC  ROBBERY UNSPECIFIED,1299
7890 CENTER PKWY,5,5B        ,1622,459 PC  BURGLARY VEHICLE,2299
7767 LA RIVIERA DR,3,3C        ,888,459 PC  BURGLARY VEHICLE,2299
6 SOUTHBURY WAY,1,1A        ,113,594(B)(2)(A) VANDALISM/ -$400,2999
2800 POWER INN RD,3,3C        ,1101,459 PC  BURGLARY BUSINESS,2203
1417 R ST,3,3A        ,765,WARRANT SERVED - I RPT,7000
3637 22ND AVE,6,6A        ,1071,459 PC  BURGLARY RESIDENCE,2204
2561 19TH AVE,4,4B        ,958,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
2561 19TH AVE,4,4B        ,958,12022.1 PC COMMIT FEL ON BAIL,5212
715 L ST,3,3M        ,742,CASUALTY REPORT,7000
2506 35TH ST,6,6A        ,1013,TERRORIST THREATS - I RPT,7000
3561 TRUXEL RD,1,1A        ,337,JUVENILE DISURBANCE - I RPT,7000
1510 PEBBLEWOOD DR,1,1C        ,425,10851(A)VC TAKE VEH W/O OWNER,2404
456 FLORIN RD,4,4C        ,1259,594(B)(2)(A) VANDALISM/ -$400,2999
STOCKTON BLVD / MACK RD,5,5C        ,1607,TOWED/STORED VEH-14602.6,7000
4201 BREUNER AVE,3,3C        ,871,243(E)1 BATTERY NONCOHAB SPOUS,1315
1523 LOS ROBLES BLVD,2,2B        ,525,243(E)1 BATTERY NONCOHAB SPOUS,1315
7401 SHELDON RD,5,5C        ,1654,11357(C)HS POSS +28.5GR MARIJ,3562
1949 ARDEN WAY,2,2C        ,620,487(A) GRAND THEFT-CLOUT-UNLOC,2305
3224 NORTHSTEAD DR,1,1C        ,418,CASUALTY REPORT,7000
6225 HERMOSA ST,4,4B        ,1326,10851 VC AUTO THEFT LOCATE,2404
7509 BALFOUR WAY,5,5A        ,1394,10851(A)VC TAKE VEH W/O OWNER,2404
6217 HOMESTEAD WAY,6,6C        ,1422,484 PETTY THEFT/LICENSE PLATE,2399
1626 26TH ST,3,3B        ,768,459 PC  BURGLARY RESIDENCE,2204
53 MOSSGLEN CIR,3,3C        ,899,594(B)(2)(A) VANDALISM/ -$400,2999
1911 BANDON WAY,1,1B        ,411,10851(A)VC TAKE VEH W/O OWNER,2404
1417 R ST,3,3A        ,765,11377(A)HS POSS AMPHETAMINES,3572
6001 RIZA AVE,6,6C        ,1441,TOWED/STORED VEHICLE,7000
2357 N MANOR DR,5,5A        ,1364,459 PC  BURGLARY RESIDENCE,2204
3410 SHADOW TREE DR,1,1B        ,401,10851(A)VC TAKE VEH W/O OWNER,2404
22 CADILLAC DR,3,3C        ,878,10851(A)VC TAKE VEH W/O OWNER,2404
3260 NORDYKE DR,1,1C        ,418,459 PC  BURGLARY VEHICLE,2299
7901 LA RIVIERA DR,3,3C        ,888,459 PC  BURGLARY VEHICLE,2299
8711 YOUNGER CREEK DR,6,6C        ,1427,459 PC  BURGLARY BUSINESS,2203
1415 30TH ST,3,3C        ,851,484G(B) PC ACCESS CARD FRAUD,2605
7582 SAN FELICE CIR,5,5A        ,1396,10851(A)VC TAKE VEH W/O OWNER,2404
3124 FAIRFIELD ST,2,2B        ,543,459 PC  BURGLARY RESIDENCE,2204
741 WESTLITE CIR,4,4C        ,1263,HARASSMENT - I RPT,7000
8545 DERLIN WAY,5,5C        ,1653,NON INJ HR/MAIL OUT REPORT,7000
6071 71ST ST,6,6C        ,1403,653M(A) PC OBSCENE/THREAT CALL,5309
5948 MEEKS WAY,1,1A        ,106,1708 US   THEFT OF MAIL,2310
549 FRANESI WAY,2,2A        ,233,487(A) PC GRAND THEFT,2303
NORWOOD AVE / NORWOOD BYP,2,2B        ,552,TOWED/STORED VEH-14602.6,7000
N 7TH ST / N B ST,3,3A        ,705,FOUND PROPERTY - I RPT,7000
752 BOWLES ST,2,2B        ,563,242 PC  BATTERY CIVILIAN,1313
4601 BLACKROCK DR,1,1A        ,136,459 PC  BURGLARY VEHICLE,2299
3333 32ND ST,6,6A        ,1031,BURGLARY - I RPT,7000
6288 FENNWOOD CT,4,4C        ,1255,459 PC  BURGLARY VEHICLE,2299
1010 EL CAMINO AVE,2,2C        ,604,211 PC ROBBERY- BUSINESS,1299
1373 54TH ST,3,3C        ,846,594(B)(2)(A)VANDALISM GRAF-400,2999
2001 POINT WEST WAY,2,2C        ,626,243.4(E)(1)TOUCH FOR SEX PLEAS,3699
2526 L ST,3,3B        ,748,459 PC  BURGLARY RESIDENCE,2204
21ST ST / H ST,3,3B        ,727,23152(A) VC DUI-ALCOHOL/DRUGS,5404
6429 VALLEY HI DR,5,5C        ,1623,245(A)(2) AWDW/FIREARM/CIVILIA,1315
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000
4074 TAYLOR ST,2,2A        ,233,10851(A)VC TAKE VEH W/O OWNER,2404
800 17TH ST,3,3B        ,736,459 PC  BURGLARY VEHICLE,2299
2000 K ST,3,3B        ,746,459 PC  BURGLARY VEHICLE,2299
2211 MANGRUM AVE,4,4B        ,1334,247(B) PC SHOOT UNOCC BLDG/VEH,5213
2500 35TH ST,6,6A        ,1013,594(B)(2)(A) VANDALISM/ -$400,2999
2600 RIO LINDA BLVD,2,2B        ,563,459 PC  BURGLARY BUSINESS,2203
279 REDWOOD AVE,2,2C        ,601,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
7511 MANDY DR,5,5B        ,1399,10851(A)VC TAKE VEH W/O OWNER,2404
16TH ST / C ST,3,3A        ,716,23152(A) VC DUI-ALCOHOL/DRUGS,5404
805 15TH ST,3,3A        ,735,INTOX REPORT/ADMIN PER - I RPT,7000
707 COMMONS DR,3,3C        ,876,459 PC  BURGLARY BUSINESS,2203
4417 55TH ST,6,6B        ,1065,SAFEKEEPING - I RPT,7000
6830 ELDER CREEK RD,6,6C        ,1443,10851(A)VC TAKE VEH W/O OWNER,2404
2020 DANVERS WAY,5,5A        ,1502,10851(A)VC TAKE VEH W/O OWNER,2404
3208 10TH AVE,6,6A        ,1041,459 PC  BURGLARY RESIDENCE,2204
4417 55TH ST,6,6B        ,1065,MISSING PERSON,7000
7TH ST / K ST,3,3M        ,742,JUVENILE OFFENDER-PROBATION,8102
2 KELSO CIR,1,1C        ,416,243(E)1 BATTERY NONCOHAB SPOUS,1315
37TH ST / 4TH AVE,6,6A        ,1014,TOWED/STORED VEH-14602.6,7000
RICHARDS BLVD / N 7TH ST,3,3A        ,702,11350(A)HS POSS CNTRL SUBST,3532
7740 REENEL WAY,5,5A        ,1501,451(B) PC ARSON OF INHAB STRUC,2099
3341 WINTER PARK DR,1,1B        ,401,242 PC  BATTERY CIVILIAN,1313
2455 PRINCETON ST,2,2C        ,605,10851(A)VC TAKE VEH W/O OWNER,2404
715 24TH ST,3,3B        ,728,12021(A)(1)PC FELON POSS FRARM,5212
63RD ST / LEMON HILL AVE,6,6B        ,1412,594(B)(1)PC  VANDALISM +$400,2999
1400 A ST,3,3A        ,706,243(D) PC BATT/CIVILIAN W/INJ,1315
EL CAMINO AVE / GROVE AVE,2,2C        ,551,NON INJ HR/MAIL OUT REPORT,7000
3735 BRANCH ST,2,2A        ,513,MISSING PERSON,7000
MARTIN LUTHER KING JR BLVD / 12TH AVE,6,6A        ,1042,12500(A) VC UNLIC DRIVER,5499
83 MARILYN CIR,2,2A        ,222,10851 VC AUTO THEFT LOCATE,2404
6239 BOBBIWOOD WAY,6,6C        ,1441,PETTY THEFT - I RPT,7000
2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON,7000
2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON,7000
24TH ST / NEDRA CT,5,5A        ,1396,TRAFFIC-ACCIDENT INJURY,5400
4100 NORTHGATE BLVD,1,1C        ,309,459 PC  BURGLARY VEHICLE,2299
5770 FREEPORT BLVD,4,4C        ,985,LOST PROPERTY - I RPT,7000
1570 WATERWHEEL DR,1,1B        ,444,MISSING PERSON LOCATE O/S ASSI,7000
902 DEL PASO BLVD,2,2C        ,612,242 PC  BATTERY CIVILIAN,1313
1130 CLAIRE AVE,2,2A        ,214,484 PC  PETTY THEFT/ OUTSIDE,2309
2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON,7000
2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON,7000
2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON,7000
TAMOSHANTER WAY / FLORIN RD,4,5A        ,1354,TRAFFIC-ACCIDENT INJURY,5400
1441 MEADOWVIEW RD,5,5A        ,1391,484 PC   PETTY THEFT/INSIDE,2308
1121 BROWNWYK DR,4,4A        ,1202,484J PC PUBLISH CARD INFO,2605
1441 MEADOWVIEW RD,5,5A        ,1391,487(A) GRAND THEFT-INSIDE,2308
65TH ST / ELVAS AVE,3,3C        ,847,TOWED/STORED VEHICLE,7000
ELDER CREEK RD / POWER INN RD,6,6C        ,1406,20002(A) HIT/RUN,5401
651 I ST,3,3M        ,732,243(C)(1)BATT EMERG PERSON-INJ,1315
5400 STOCKTON BLVD,6,6B        ,1084,211 PC  ROBBERY UNSPECIFIED,1299
L ST / 14TH ST,3,3M        ,745,484 PC PETTY THEFT,2399
BROADWAY / 35TH ST,6,6A        ,1013,TOWED/STORED VEHICLE,7000
20TH ST / FLORIN RD,4,4B        ,1354,TOWED/STORED VEHICLE,7000
6500 MACK RD,5,5C        ,1624,484 PC PETTY THEFT,2399
RAMONA AVE / POWER INN RD,6,6C        ,1124,459 PC  BURGLARY VEHICLE,2299
2364 CAMBRIDGE ST,2,2C        ,603,11350(A)HS POSS CNTRL SUBST,3532
26 MASSIE CT,5,5C        ,1607,459 PC  BURGLARY VEHICLE,2299
2814 ROSEAU WAY,1,1B        ,421,487(A) GRAND THEFT-INSIDE,2308
1689 ARDEN WAY,2,2C        ,619,CHILD CUSTODY - I RPT,7000
151 DEL VERDE CIR,1,1B        ,412,475(C) PASS FORGED NOTE,2506
2750 SUTTERVILLE RD,4,4B        ,958,594(B)(1)PC  VANDALISM +$400,2999
1130 TENEIGHTH WAY,4,4A        ,934,484 PC  PETTY THEFT/ OUTSIDE,2309
RIO LINDA BLVD / PRICE CT,2,2B        ,553,TOWED/STORED VEH-14602.6,7000
CENTER PKWY / MACK RD,5,5B        ,1606,TRAFFIC-ACCIDENT-NON INJURY,5400
6001 RIVERSIDE BLVD,4,4C        ,1251,10851(A)VC TAKE VEH W/O OWNER,2404
414 K ST,3,3M        ,742,LOST PROPERTY - I RPT,7000
21ST AVE / CONCORD RD,6,6C        ,1132,TOWED/STORED VEHICLE,7000
4961 PRISCILLA LN,6,6C        ,1143,FOUND EVIDENCE-NON NARC -I RPT,7000
820 BROADWAY,4,4A        ,903,VANDALISM - I RPT,7000
5595 MACK RD,5,5C        ,1606,211 PC ROBBERY- BUSINESS,1299
3090 38TH AVE,4,4B        ,998,459 PC  BURGLARY RESIDENCE,2204
1181 PEBBLEWOOD DR,1,1C        ,416,594(B)(1)PC  VANDALISM +$400,2999
HOWE AVE / FAIR OAKS BLVD,3,3C        ,877,TRAFFIC-ACCIDENT-NON INJURY,5400
BEAUMONT ST / LAMPASAS AVE,2,2B        ,563,11378 HS POSS/SALE AMPHETAMINE,3571
MARYSVILLE BLVD / RIO LINDA BLVD,2,2A        ,204,23153(A) VC DUI CAUSE INJURY,5404
MACK RD / VALLEY HI DR,5,5C        ,1606,TRAFFIC-ACCIDENT-NON INJURY,5400
1689 ARDEN WAY,2,2C        ,619,10851(A)VC TAKE VEH W/O OWNER,2404
6680 VALLEY HI DR,5,5C        ,1624,594(B)(1)PC  VANDALISM +$400,2999
2322 C ST,3,3B        ,717,TOWED/STORED VEH-14602.6,7000
2505 RIVERSIDE BLVD,4,4A        ,905,484 PC PETTY THEFT,2399
1600 EXPO PKWY,2,2C        ,623,459 PC  BURGLARY VEHICLE,2299
79TH ST / TORONTO WAY,6,6C        ,1133,TRAFFIC-ACCIDENT INJURY,5400
3129 SAN JOSE WAY,6,6A        ,1032,212.5(A)ROBBERY-INHAB DWELLING,1299
1395 GARDEN HWY,1,1B        ,451,ASSAULT WITH WEAPON - I RPT,7000
4328 62ND ST,6,6B        ,1067,CASUALTY REPORT,7000
I 5 SB / SEAMAS AVE,4,4A        ,1203,NON INJ HR/MAIL OUT REPORT,7000
5500 MACK RD,5,5C        ,1623,594(B)(2)(A) VANDALISM/ -$400,2999
MARCONI AVE / BUS 80 WB,2,2C        ,558,23152(A) VC DUI-ALCOHOL/DRUGS,5404
2634 STONECREEK DR,1,1B        ,435,BURGLARY - I RPT,7000
5201 9TH AVE,6,6B        ,1035,484 PETTY THEFT/LICENSE PLATE,2399
6375 SUMMERTIDE WAY,5,5C        ,1634,CASUALTY REPORT,7000
7961 53RD AVE,6,6C        ,1445,243(E)1 BATTERY NONCOHAB SPOUS,1315
FELL ST / GRAND AVE,2,2A        ,505,TRAFFIC-ACCIDENT INJURY,5400
8000 FOLSOM BLVD,3,3C        ,1101,484 PETTY THEFT-SHOPLIFT,2303
1651 ARDEN WAY,2,2C        ,616,484 PETTY THEFT-SHOPLIFT,2303
FRUITRIDGE RD / 24TH ST,4,4B        ,977,TRAFFIC-ACCIDENT-NON INJURY,5400
TRUXEL RD / GATEWAY PARK BLVD,1,1A        ,338,23153(A) VC DUI CAUSE INJURY,5404
6565 SURFSIDE WAY,4,4C        ,1261,459 PC  BURGLARY RESIDENCE,2204
4315 MARTIN LUTHER KING JR BLVD,6,6A        ,1062,459 PC  BURGLARY BUSINESS,2203
30TH ST / 14TH AVE,4,4B        ,958,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
2951 24TH AVE,4,4B        ,969,484 PC   PETTY THEFT/INSIDE,2308
5211 CRYSTAL HILL WAY,5,5C        ,1644,422 PC THREAT/INTENT TO TERROR,1602
3701 TRUXEL RD,1,1A        ,337,484 PC PETTY THEFT,2399
7931 CAPISTRANO WAY,6,6C        ,1424,THREATS - I RPT,7000
4100 NORTHGATE BLVD,1,1C        ,309,459 PC  BURGLARY VEHICLE,2299
1288 HELENA AVE,2,2B        ,564,TELEPEST -I RPT,7000
7684 19TH ST,5,5A        ,1502,459 PC  BURGLARY RESIDENCE,2204
4100 NORTHGATE BLVD,1,1C        ,309,459 PC  BURGLARY VEHICLE,2299
1230 N ST,3,3A        ,764,CASUALTY REPORT,7000
4820 76TH ST,6,6C        ,1143,CASUALTY REPORT,7000
2400 CORMORANT WAY,2,2C        ,606,459 PC  BURGLARY-UNSPECIFIED,2299
FLORIN RD / S LAND PARK DR,4,4C        ,1279,23152(A) VC DUI-ALCOHOL/DRUGS,5404
41 SOUTH AVE,2,2B        ,521,10851(A)VC TAKE VEH W/O OWNER,2404
1651 ARDEN WAY,2,2C        ,616,487(A) PC GRAND THEFT-SHOPLIFT,2303
4588 BARBEE WAY,5,5B        ,1603,246 PC SHOOT OCCUP DWELL/VEH,5213
5601 LERNER WAY,5,5C        ,1605,459 PC  BURGLARY RESIDENCE,2204
STOCKTON BLVD / 48TH AVE,6,6C        ,1441,TRAFFIC-ACCIDENT-NON INJURY,5400
TRUXEL RD / GATEWAY PARK BLVD,1,1A        ,338,TOWED/STORED VEHICLE,7000
3946 2ND AVE,6,6A        ,1014,459 PC  BURGLARY RESIDENCE,2204
5605 MACK RD,5,5C        ,1606,475(C) PASS FORGED NOTE,2506
5330 STOCKTON BLVD,6,6B        ,1084,484G(B) PC ACCESS CARD FRAUD,2605
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000
950 ELEANOR AVE,2,2B        ,563,484 PETTY THEFT/LICENSE PLATE,2399
14TH AVE / 67TH ST,6,6C        ,1121,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
6800 FOLSOM BLVD,3,3C        ,856,459 PC  BURGLARY BUSINESS,2203
4422 Y ST,6,6B        ,1005,459 PC  BURGLARY VEHICLE,2299
241 RIVERBROOK WAY,4,4C        ,1252,459 PC  BURGLARY RESIDENCE,2204
5953 RIVERSIDE BLVD,4,4C        ,1251,BATTERY - I RPT,7000
4359 SHINING STAR DR,5,5B        ,1602,11550(A)HS UNDER INFL NARCOTIC,3599
5956 64TH ST,6,6B        ,1412,459 PC  BURGLARY RESIDENCE,2204
4500 TRUXEL RD,1,1A        ,306,459 PC  BURGLARY VEHICLE,2299
3892 ROBINRIDGE WAY,5,5B        ,1399,MISSING PERSON,7000
1451 RIVER PARK DR,2,2C        ,626,459 PC  BURGLARY VEHICLE,2299
MEADOWSTONE DR / SUNMEADOW DR,5,5B        ,1614,TOWED/STORED VEHICLE,7000
5325 DRY CREEK RD,2,2A        ,204,10851 VC AUTO THEFT LOCATE,2404
6105 STOCKTON BLVD,6,6B        ,1421,666 PC PETTY THEFT W/PRI CONV,2399
700 K ST,3,3M        ,742,RECOVERED PROPERTY - I RPT,7000
4816 VALLEY HI DR,5,5B        ,1631,273.6(A) PC VIO DV COURT ORDER,5007
237 MAJESTIC LN,2,2A        ,238,MISSING PERSON,7000
3710 FRANKLIN BLVD,4,4B        ,958,666 PC PETTY THEFT W/PRI CONV,2399
21ST ST / 3RD AVE,4,4A        ,917,TRAFFIC-ACCIDENT-NON INJURY,5400
8940 ALDER AVE,6,6C        ,1409,10851(A)VC TAKE VEH W/O OWNER,2404
650 PLAZA AVE,2,2B        ,563,243(E)1 BATTERY NONCOHAB SPOUS,1315
2025 28TH ST,3,3B        ,788,10851(A)VC TAKE VEH W/O OWNER,2404
2614 ERIN DR,1,1C        ,436,10851(A)VC TAKE VEH W/O OWNER,2404
4 WAYNE CT,6,6C        ,1409,10851(A)VC TAKE VEH W/O OWNER,2404
4 WAYNE CT,6,6C        ,1409,10851(A)VC TAKE VEH W/O OWNER,2404
7917 32ND AVE,6,6C        ,1405,MISSING PERSON,7000
3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000
380 RICK HEINRICH CIR,1,1A        ,106,THREATS - I RPT,7000
2541 FERNDALE AVE,5,5A        ,1396,10851(A)VC TAKE VEH W/O OWNER,2404
15 CHIEF CT,1,1B        ,434,594(B)(2)(A) VANDALISM/ -$400,2999
2820 GRASSLANDS DR,1,1B        ,421,SUSP PERS-NO CRIME - I RPT,7000
64TH ST / 21ST AVE,6,6B        ,1068,10851 VC AUTO THEFT LOCATE,2404
3501 MEADOWVIEW RD,5,5B        ,1399,245(A)(1)AWDW/NO FIREARM/CIVIL,1315
6087 RIVERSIDE BLVD,4,4C        ,1251,THREATS - I RPT,7000
222 JIBBOOM ST,3,3A        ,721,20002(A) HIT/RUN,5401
2305 EXPEDITION WAY,5,5A        ,1512,594(B)(1)PC  VANDALISM +$400,2999
RIVERSIDE BLVD / BROADWAY,4,4A        ,905,20002(A) HIT/RUN,5401
4211 NORWOOD AVE,2,2A        ,232,666 PC PETTY THEFT W/PRI CONV,2399
815 18TH ST,3,3B        ,736,SUSP PERS-NO CRIME - I RPT,7000
4551 MACK RD,5,5B        ,1603,459 PC  BURGLARY BUSINESS,2203
G ST / 16TH ST,3,3A        ,726,TRAFFIC-ACCIDENT INJURY,5400
7336 ROTELLA DR,6,6C        ,1404,459 PC  BURGLARY RESIDENCE,2204
7739 CENTER PKWY,5,5C        ,1605,TOWED/STORED VEH-14602.6,7000
2381 RIVER PLAZA DR,1,1B        ,440,487(A) GRAND THEFT-CLOUT-UNLOC,2305
